"id","timestamp","owmtemperature","temperature","owmpressure","pressure","owmhumidity","humidity","sensorwindspeed","owmwindspeed","owmwinddegree","light","owmweathername","owmweatherdesc"
"90","2016-01-04 13:19:51","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"91","2016-01-04 13:20:22","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"92","2016-01-04 13:20:52","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"93","2016-01-04 13:21:22","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"94","2016-01-04 13:21:53","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"95","2016-01-04 13:22:23","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"96","2016-01-04 13:22:56","-300",NULL,"-1",NULL,"-1",NULL,"-1","-1","-1","-1","N/A","N/A"
"97","2016-01-04 13:23:26","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"98","2016-01-04 13:23:56","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"99","2016-01-04 13:24:26","6.049999660915799",NULL,"995",NULL,"87",NULL,"-1","7.78000020980835","240","-1","Rain","moderate rain"
"100","2016-01-04 13:24:56","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"101","2016-01-04 13:25:26","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"102","2016-01-04 13:25:57","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"103","2016-01-04 13:26:27","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"104","2016-01-04 13:26:57","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"105","2016-01-04 13:27:27","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"106","2016-01-04 13:27:57","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"107","2016-01-04 13:28:27","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"108","2016-01-04 13:28:57","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"109","2016-01-04 13:29:28","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"110","2016-01-04 13:29:58","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"111","2016-01-04 13:30:28","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"112","2016-01-04 13:30:58","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"113","2016-01-04 13:31:28","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"114","2016-01-04 13:31:58","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"115","2016-01-04 13:32:28","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"116","2016-01-04 13:32:58","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"117","2016-01-04 13:33:28","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"118","2016-01-04 13:33:59","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"119","2016-01-04 13:34:29","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"120","2016-01-04 13:34:59","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"121","2016-01-04 13:35:29","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"122","2016-01-04 13:35:59","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"123","2016-01-04 13:36:29","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"124","2016-01-04 13:36:59","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"125","2016-01-04 13:37:29","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"126","2016-01-04 13:38:00","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"127","2016-01-04 13:38:30","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"128","2016-01-04 13:39:00","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"129","2016-01-04 13:39:30","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"130","2016-01-04 13:40:00","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"131","2016-01-04 13:40:30","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"132","2016-01-04 13:41:01","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"133","2016-01-04 13:41:32","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"134","2016-01-04 13:42:02","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"135","2016-01-04 13:42:32","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"136","2016-01-04 13:43:03","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"137","2016-01-04 13:43:33","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"138","2016-01-04 13:44:04","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"139","2016-01-04 13:44:34","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"140","2016-01-04 13:45:04","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"141","2016-01-04 13:45:34","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"142","2016-01-04 13:46:05","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"143","2016-01-04 13:46:35","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"144","2016-01-04 13:47:05","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"145","2016-01-04 13:47:35","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"146","2016-01-04 13:48:05","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"147","2016-01-04 13:48:35","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"148","2016-01-04 13:49:05","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"149","2016-01-04 13:49:35","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"150","2016-01-04 13:50:06","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"151","2016-01-04 13:50:37","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"152","2016-01-04 13:51:07","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"153","2016-01-04 13:51:37","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"154","2016-01-04 13:52:07","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"155","2016-01-04 13:52:37","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"156","2016-01-04 13:53:09","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"157","2016-01-04 13:53:39","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"158","2016-01-04 13:54:09","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"159","2016-01-04 13:54:39","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"160","2016-01-04 13:55:09","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"161","2016-01-04 13:55:39","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"162","2016-01-04 13:56:10","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"163","2016-01-04 13:56:40","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"164","2016-01-04 13:57:10","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"165","2016-01-04 13:57:40","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"166","2016-01-04 13:58:10","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"167","2016-01-04 13:58:40","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"168","2016-01-04 13:59:10","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"169","2016-01-04 13:59:41","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"170","2016-01-04 14:00:11","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"171","2016-01-04 14:00:41","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"172","2016-01-04 14:01:12","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"173","2016-01-04 14:01:42","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"174","2016-01-04 14:02:12","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"175","2016-01-04 14:02:42","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"176","2016-01-04 14:03:12","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"177","2016-01-04 14:03:43","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"178","2016-01-04 14:04:13","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"179","2016-01-04 14:04:43","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"180","2016-01-04 14:05:13","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
"181","2016-01-04 14:05:43","6.238888634575738",NULL,"995",NULL,"75",NULL,"-1","8.859999656677246","230","-1","Rain","light rain"
